work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,SE,FT,Software Engineer,74526,LT,0,LT,M
2025,SE,FT,Software Engineer,63157,LT,0,LT,M
2025,SE,FT,Software Engineer,183580,US,100,US,M
2025,SE,FT,Software Engineer,111260,US,100,US,M
2025,SE,FT,Data Analyst,121000,US,0,US,M
2025,SE,FT,Data Analyst,103000,US,0,US,M
2025,EN,FT,Data Analyst,31645,GB,0,GB,M
2025,EN,FT,Data Analyst,124000,US,100,US,M
2025,EN,FT,Data Analyst,86800,US,100,US,M
2025,SE,FT,Data Analyst,120000,US,100,US,M
2025,SE,FT,Data Analyst,90000,US,100,US,M
2025,SE,FT,Analytics Engineer,154688,US,100,US,M
2025,SE,FT,Analytics Engineer,103125,US,100,US,M
2025,SE,FT,Solution Architect,263900,US,0,US,M
2025,SE,FT,Solution Architect,195100,US,0,US,M
2025,MI,FT,Associate,87516,US,0,US,M
2025,MI,FT,Associate,45360,US,0,US,M
2025,MI,FT,Encounter Data Management Professional,88600,US,0,US,M
2025,MI,FT,Encounter Data Management Professional,65000,US,0,US,M
2025,SE,FT,Encounter Data Management Professional,107800,US,0,US,M
2025,SE,FT,Encounter Data Management Professional,78400,US,0,US,M
2025,MI,FT,Associate,161700,US,100,US,M
2025,MI,FT,Associate,117600,US,100,US,M
2025,MI,FT,Manager,161456,US,0,US,M
2025,MI,FT,Manager,76075,US,0,US,M
2025,SE,FT,Data Infrastructure Engineer,101052,LT,0,LT,M
2025,SE,FT,Data Infrastructure Engineer,63157,LT,0,LT,M
2025,SE,FT,Data Architect,224381,US,100,US,M
2025,SE,FT,Data Architect,149587,US,100,US,M
2025,MI,FT,Data Scientist,179000,US,0,US,M
2025,MI,FT,Data Scientist,112000,US,0,US,M
2025,SE,FT,Data Scientist,130590,US,0,US,M
2025,SE,FT,Data Scientist,114210,US,0,US,M
2025,MI,FT,Data Scientist,209657,US,0,US,M
2025,MI,FT,Data Scientist,106250,US,0,US,M
2025,MI,FT,Data Analyst,97100,US,100,US,M
2025,MI,FT,Data Analyst,54000,US,100,US,M
2025,SE,FT,Data Analyst,121300,US,100,US,M
2025,SE,FT,Data Analyst,67400,US,100,US,M
2025,SE,FT,Data Analyst,136000,US,0,US,M
2025,SE,FT,Data Analyst,86000,US,0,US,M
2025,SE,FT,Data Team Lead,173900,US,0,US,M
2025,SE,FT,Data Team Lead,82300,US,0,US,M
2025,SE,FT,Engineer,209657,US,0,US,M
2025,SE,FT,Engineer,106250,US,0,US,M
2025,EN,FT,Consultant,21221,SK,0,SK,M
2025,EN,FT,Consultant,18947,SK,0,SK,M
2025,SE,FT,Engineer,190000,US,0,US,M
2025,SE,FT,Engineer,145000,US,0,US,M
2025,SE,FT,Business Intelligence Lead,161700,US,100,US,M
2025,SE,FT,Business Intelligence Lead,117600,US,100,US,M
2025,SE,FT,AI Architect,265600,US,0,US,M
2025,SE,FT,AI Architect,159400,US,0,US,M
2025,SE,FT,Data Architect,235000,US,0,US,M
2025,SE,FT,Data Architect,157000,US,0,US,M
2025,SE,FT,DevOps Engineer,199400,US,0,US,M
2025,SE,FT,DevOps Engineer,119600,US,0,US,M
